ET_Start_T,ET_End_T,ET_Duration,File,File_Name,Subject,Experiment_Trial,Experimental_Condition,Delivery_Phase,Signal_Record,Signal_Number,Sig_start_T,Sig_end_T,Sig_duration,Gest_Direction,Laterality,Goal_Object_Position,Sig_Dur_Analysis,Sig_Comment,df,Bout_part,Elaboration,Persistence,Response_Waiting,MAU_start_T,MAU_end_T,MAU_duration,GA_end_T
157600,207000,49400,eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_pre.eaf,eleCREW_VE_2024-03-28_Exp_Trial02_DT,Detema,VEC012,Goal Partially Met,Pre-delivery,Trunk-Raise,VES073,158400,160080,1680,None,NV,Right,Include,NA,1,1_3,Yes,Yes,Yes,158400,160080,1680,160080
157600,207000,49400,eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_pre.eaf,eleCREW_VE_2024-03-28_Exp_Trial02_DT,Detema,VEC012,Goal Partially Met,Pre-delivery,Trunk-Over-Tusk,VES074,160080,163140,3060,None,NV,Right,Include,NA,1,1_3,Yes,Yes,Yes,160087,161053,966,162340
157600,207000,49400,eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_pre.eaf,eleCREW_VE_2024-03-28_Exp_Trial02_DT,Detema,VEC012,Goal Partially Met,Pre-delivery,Trunk-Burp,VES075,163613,164133,520,NV,NV,Right,Include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157600,207000,49400,eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_pre.eaf,eleCREW_VE_2024-03-28_Exp_Trial02_DT,Detema,VEC012,Goal Partially Met,Pre-delivery,Trunk-Burp,VES076,164880,165427,547,NV,NV,Right,Include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157600,207000,49400,eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_pre.eaf,eleCREW_VE_2024-03-28_Exp_Trial02_DT,Detema,VEC012,Goal Partially Met,Pre-delivery,Trunk-Fling,VES077,169600,171420,1820,None,NV,Right,Exclude_end,no direction just side,1,2_3,No,No,Yes,169600,170720,1120,170720
157600,207000,49400,eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_pre.eaf,eleCREW_VE_2024-03-28_Exp_Trial02_DT,Detema,VEC012,Goal Partially Met,Pre-delivery,Trunk-Burp,VES078,170987,171440,453,NV,NV,Right,Include,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157600,207000,49400,eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_pre.eaf,eleCREW_VE_2024-03-28_Exp_Trial02_DT,Detema,VEC012,Goal Partially Met,Pre-delivery,Head-Shake,VES423,173750,175650,1900,NV,NV,Right,Include,NA,1,Unclear,NV,NV,NV,173750,175650,1900,175650
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Object-on-TG,VES107,197500,202700,5200,Self,NV,Left,Include,object=stick,1,1_4,Yes,Yes,Yes,197500,199240,1740,201820
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES108,202700,204000,1300,None,NV,Left,Include,NA,1,2_4,Yes,Yes,Yes,202700,203460,760,203460
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES109,204000,204420,420,None,NV,Left,Include,NA,1,2_4,Yes,Yes,Yes,204000,204255,255,204255
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Throw-Stick,VES110,204420,205180,760,None,NV,Left,Include,NA,1,2_4,Yes,Yes,Yes,204420,205020,600,205020
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES111,214760,215720,960,None,NV,Left,Include,NA,1,3_4,No,Yes,Yes,214760,215360,600,215360
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES112,215720,216600,880,None,NV,Left,Include,NA,1,3_4,No,Yes,Yes,215720,216140,420,216140
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES113,217290,218120,830,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,217290,217650,360,217650
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES114,218120,218560,440,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,218125,218325,200,218325
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES115,218560,219200,640,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,218560,218890,330,218890
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES116,219200,219970,770,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,219200,219680,480,219680
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES117,219975,221170,1195,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,219975,220755,780,220755
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES118,221170,221990,820,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,221170,221650,480,221650
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES119,221990,222860,870,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,221990,222390,400,222390
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES120,222860,223690,830,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,222860,223250,390,223250
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES121,223690,224460,770,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,223690,223985,295,223985
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES122,224460,225370,910,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,224460,224915,455,224915
173700,229200,55500,eleCREW_VE_2024-03-31_Exp_Trial01_LD_VEC016_pre.eaf,eleCREW_VE_2024-03-31_Exp_Trial01_LD,Laduma,VEC016,Goal Not Met,Pre-delivery,Trunk-Hitting-Ground-with-Stick,VES123,225370,226150,780,None,NV,Left,Exclude,beyond 40,1,4_4,No,No,Yes,225370,225650,280,225650
288000,334800,46800,eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_noexp.eaf,eleCREW_VE_2024-03-28_Exp_Trial02_DT,Detema,VEC012,Goal Partially Met,No-experimenter,None,NV,288000,334200,46200,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
