"File","Subject","Sex","Age","Group","Experimental_Condition","Delivery_Phase","Gesture_Record_Count","Gesture_Type_Count"
"WildHorizons_VE_2024-04-25_Trial02_CC_VEC051_noexp.eaf","Coco","Female","Old adult","WildHorizons2","Goal met","No-experimenter",0,0
"WildHorizons_VE_2024-04-25_Trial02_CC_VEC051_post.eaf","Coco","Female","Old adult","WildHorizons2","Goal met","Post-delivery",4,3
"WildHorizons_VE_2024-04-25_Trial02_CC_VEC051_pre.eaf","Coco","Female","Old adult","WildHorizons2","Goal met","Pre-delivery",6,2
"WildHorizons_VE_2024-04-21_Trial03_CC_VEC041_noexp.eaf","Coco","Female","Old adult","WildHorizons2","Goal not met","No-experimenter",0,0
"WildHorizons_VE_2024-04-21_Trial03_CC_VEC041_post.eaf","Coco","Female","Old adult","WildHorizons2","Goal not met","Post-delivery",1,1
"WildHorizons_VE_2024-04-21_Trial03_CC_VEC041_pre.eaf","Coco","Female","Old adult","WildHorizons2","Goal not met","Pre-delivery",6,2
"WildHorizons_VE_2024-04-23_Trial01_CC_VEC045_noexp.eaf","Coco","Female","Old adult","WildHorizons2","Goal partially met","No-experimenter",0,0
"WildHorizons_VE_2024-04-23_Trial01_CC_VEC045_post.eaf","Coco","Female","Old adult","WildHorizons2","Goal partially met","Post-delivery",3,3
"WildHorizons_VE_2024-04-23_Trial01_CC_VEC045_pre.eaf","Coco","Female","Old adult","WildHorizons2","Goal partially met","Pre-delivery",3,2
"eleCREW_VE_2024-04-01_Exp_Trial03_DT_VEC020_noexp.eaf","Detema","Male","Young adult","eleCREW","Goal met","No-experimenter",0,0
"eleCREW_VE_2024-04-01_Exp_Trial03_DT_VEC020_post.eaf","Detema","Male","Young adult","eleCREW","Goal met","Post-delivery",0,0
"eleCREW_VE_2024-04-01_Exp_Trial03_DT_VEC020_pre.eaf","Detema","Male","Young adult","eleCREW","Goal met","Pre-delivery",2,2
"eleCREW_VE_2024-03-25_Exp_Trial01_DT_VEC003_noexp.eaf","Detema","Male","Young adult","eleCREW","Goal not met","No-experimenter",0,0
"eleCREW_VE_2024-03-25_Exp_Trial01_DT_VEC003_post.eaf","Detema","Male","Young adult","eleCREW","Goal not met","Post-delivery",0,0
"eleCREW_VE_2024-03-25_Exp_Trial01_DT_VEC003_pre.eaf","Detema","Male","Young adult","eleCREW","Goal not met","Pre-delivery",5,3
"eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_noexp.eaf","Detema","Male","Young adult","eleCREW","Goal partially met","No-experimenter",0,0
"eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_post.eaf","Detema","Male","Young adult","eleCREW","Goal partially met","Post-delivery",3,1
"eleCREW_VE_2024-03-28_Exp_Trial02_DT_VEC012_pre.eaf","Detema","Male","Young adult","eleCREW","Goal partially met","Pre-delivery",3,3
"eleCREW_VE_2024-03-24_Exp_Trial03_DM_VEC002_noexp.eaf","Doma","Male","Old adult","eleCREW","Goal met","No-experimenter",0,0
"eleCREW_VE_2024-03-24_Exp_Trial03_DM_VEC002_post.eaf","Doma","Male","Old adult","eleCREW","Goal met","Post-delivery",1,1
"eleCREW_VE_2024-03-24_Exp_Trial03_DM_VEC002_pre.eaf","Doma","Male","Old adult","eleCREW","Goal met","Pre-delivery",8,2
"eleCREW_VE_2024-03-27_Exp_Trial01_DM_VEC009_noexp.eaf","Doma","Male","Old adult","eleCREW","Goal not met","No-experimenter",0,0
"eleCREW_VE_2024-03-27_Exp_Trial01_DM_VEC009_post.eaf","Doma","Male","Old adult","eleCREW","Goal not met","Post-delivery",2,2
"eleCREW_VE_2024-03-27_Exp_Trial01_DM_VEC009_pre.eaf","Doma","Male","Old adult","eleCREW","Goal not met","Pre-delivery",1,1
"eleCREW_VE_2024-03-31_Exp_Trial02_DM_VEC017_noexp.eaf","Doma","Male","Old adult","eleCREW","Goal partially met","No-experimenter",0,0
"eleCREW_VE_2024-03-31_Exp_Trial02_DM_VEC017_post.eaf","Doma","Male","Old adult","eleCREW","Goal partially met","Post-delivery",1,1
"eleCREW_VE_2024-03-31_Exp_Trial02_DM_VEC017_pre.eaf","Doma","Male","Old adult","eleCREW","Goal partially met","Pre-delivery",2,1
"WildHorizons_VE_2024-04-15_Trial02_EM_VEC036_noexp.eaf","Emely","Female","Young adult","WildHorizons1","Goal met","No-experimenter",0,0
"WildHorizons_VE_2024-04-15_Trial02_EM_VEC036_post.eaf","Emely","Female","Young adult","WildHorizons1","Goal met","Post-delivery",0,0
"WildHorizons_VE_2024-04-15_Trial02_EM_VEC036_pre.eaf","Emely","Female","Young adult","WildHorizons1","Goal met","Pre-delivery",2,2
"WildHorizons_VE_2024-04-11_Trial02_EM_VEC027_noexp.eaf","Emely","Female","Young adult","WildHorizons1","Goal not met","No-experimenter",0,0
"WildHorizons_VE_2024-04-11_Trial02_EM_VEC027_post.eaf","Emely","Female","Young adult","WildHorizons1","Goal not met","Post-delivery",0,0
"WildHorizons_VE_2024-04-11_Trial02_EM_VEC027_pre.eaf","Emely","Female","Young adult","WildHorizons1","Goal not met","Pre-delivery",0,0
"WildHorizons_VE_2024-04-13_Trial01_EM_VEC031_noexp.eaf","Emely","Female","Young adult","WildHorizons1","Goal partially met","No-experimenter",0,0
"WildHorizons_VE_2024-04-13_Trial01_EM_VEC031_post.eaf","Emely","Female","Young adult","WildHorizons1","Goal partially met","Post-delivery",9,4
"WildHorizons_VE_2024-04-13_Trial01_EM_VEC031_pre.eaf","Emely","Female","Young adult","WildHorizons1","Goal partially met","Pre-delivery",1,1
"eleCREW_VE_2024-03-25_Exp_Trial03_HW_VEC006_noexp.eaf","Hwange","Female","Young adult","eleCREW","Goal met","No-experimenter",0,0
"eleCREW_VE_2024-03-25_Exp_Trial03_HW_VEC006_post.eaf","Hwange","Female","Young adult","eleCREW","Goal met","Post-delivery",1,1
"eleCREW_VE_2024-03-28_Exp_Trial01_HW_VEC011_noexp.eaf","Hwange","Female","Young adult","eleCREW","Goal not met","No-experimenter",0,0
"eleCREW_VE_2024-03-28_Exp_Trial01_HW_VEC011_post.eaf","Hwange","Female","Young adult","eleCREW","Goal not met","Post-delivery",1,1
"eleCREW_VE_2024-03-28_Exp_Trial01_HW_VEC011_pre.eaf","Hwange","Female","Young adult","eleCREW","Goal not met","Pre-delivery",0,0
"eleCREW_VE_2024-04-01_Exp_Trial02_HW_VEC019_noexp.eaf","Hwange","Female","Young adult","eleCREW","Goal partially met","No-experimenter",0,0
"eleCREW_VE_2024-04-01_Exp_Trial02_HW_VEC019_post.eaf","Hwange","Female","Young adult","eleCREW","Goal partially met","Post-delivery",0,0
"eleCREW_VE_2024-04-01_Exp_Trial02_HW_VEC019_pre.eaf","Hwange","Female","Young adult","eleCREW","Goal partially met","Pre-delivery",1,1
"WildHorizons_VE_2024-04-19_Trial01_JM_VEC037_noexp.eaf","Jambo","Male","Old adult","WildHorizons2","Goal met","No-experimenter",0,0
