"File_Name","Experimental_Condition","Subject","Sex","Age","Group","Pre_Delivery_Gest_Types","Post_Delivery_Gest_Types","Pre_Delivery_Gest_Types_Count","Post_Delivery_Gest_Types_Count","Novel_Gest_Types_Used","Repeated_Gest_Types_Used","Novel_Gest_Types_Count","Repeated_Gest_Types_Count"
"WildHorizons_VE_2024-04-25_Trial02_CC","Goal met","Coco","Female","Old adult","WildHorizons2","Trunk-Fling-Blow-Ex,Trunk-Fling-Blow-Ex,Trunk-Fling-Blow-Ex,Trunk-Reach-Blow-Ex,Trunk-Fling-Blow-Ex,Trunk-Reach-Blow-Ex","Trunk-Fling-Blow-Ex,Trunk-Fling-Blow-Ex,Trunk-Raise,Trunk-Blow",6,4,"Yes","Yes",2,2
"WildHorizons_VE_2024-04-21_Trial03_CC","Goal not met","Coco","Female","Old adult","WildHorizons2","Trunk-Fling-Blow-Ex,Trunk-Fling-Blow-Ex,Trunk-Fling-Blow-Ex,Trunk-Raise,Trunk-Fling-Blow-Ex,Trunk-Fling-Blow-Ex","Trunk-Fling-Blow-Ex",6,1,"No","Yes",0,1
"WildHorizons_VE_2024-04-23_Trial01_CC","Goal partially met","Coco","Female","Old adult","WildHorizons2","Trunk-Fling-Ex,Trunk-Fling-Ex,Trunk-Reach-Ex","Trunk-Reach-Blow-Ex,Trunk-Fling-Blow-Ex,Trunk-Reach-Ex",3,3,"Yes","Yes",2,1
"eleCREW_VE_2024-04-01_Exp_Trial03_DT","Goal met","Detema","Male","Young adult","eleCREW","Head-Nodding,Trunk-Fling-Ex","",2,0,"NV","NV",0,0
"eleCREW_VE_2024-03-25_Exp_Trial01_DT","Goal not met","Detema","Male","Young adult","eleCREW","Trunk-Raise,Trunk-Blow,Trunk-Raise,Trunk-Reach-Ex,Trunk-Reach-Ex","",5,0,"NV","NV",0,0
"eleCREW_VE_2024-03-28_Exp_Trial02_DT","Goal partially met","Detema","Male","Young adult","eleCREW","Trunk-Raise,Trunk-Over-Tusk,Trunk-Fling","Trunk-Throw-Sand-Self,Trunk-Throw-Sand-Self,Trunk-Throw-Sand-Self",3,3,"Yes","No",3,0
"eleCREW_VE_2024-03-24_Exp_Trial03_DM","Goal met","Doma","Male","Old adult","eleCREW","Trunk-Throw-Sand-Ex,Trunk-Throw-Sand-Ex,Trunk-Fling-Ex,Trunk-Throw-Sand-Ex,Trunk-Throw-Sand-Ex,Trunk-Throw-Sand-Ex,Trunk-Throw-Sand-Ex,Trunk-Fling-Ex","Trunk-Throw-Sand-Ex",8,1,"No","Yes",0,1
"eleCREW_VE_2024-03-27_Exp_Trial01_DM","Goal not met","Doma","Male","Old adult","eleCREW","Trunk-Fling-Ex","Trunk-Throw-Sand-Ex,Trunk-Fling-Ex",1,2,"Yes","Yes",1,1
"eleCREW_VE_2024-03-31_Exp_Trial02_DM","Goal partially met","Doma","Male","Old adult","eleCREW","Trunk-Throw-Sand-Ex,Trunk-Throw-Sand-Ex","Trunk-Throw-Sand-Ex",2,1,"No","Yes",0,1
"WildHorizons_VE_2024-04-15_Trial02_EM","Goal met","Emely","Female","Young adult","WildHorizons1","Trunk-Fling-Blow-Ex,Trunk-Fling-Ex","",2,0,"NV","NV",0,0
"WildHorizons_VE_2024-04-13_Trial01_EM","Goal partially met","Emely","Female","Young adult","WildHorizons1","Ear-Flapping","Trunk-Swing-Ex,Trunk-Swing-Touch-Body,Trunk-Swing-Touch-Body,Trunk-Swing-Touch-Body,Trunk-Swing-Obj,Trunk-Swing-Touch-Body,Trunk-Swing-Blow-Ex,Trunk-Swing-Touch-Body,Trunk-Swing-Ex",1,9,"Yes","No",9,0
"eleCREW_VE_2024-03-25_Exp_Trial03_HW","Goal met","Hwange","Female","Young adult","eleCREW","","Trunk-Fling-Ex",0,1,"Yes","No",1,0
"eleCREW_VE_2024-03-28_Exp_Trial01_HW","Goal not met","Hwange","Female","Young adult","eleCREW","","Trunk-Fling-Ex",0,1,"Yes","No",1,0
"eleCREW_VE_2024-04-01_Exp_Trial02_HW","Goal partially met","Hwange","Female","Young adult","eleCREW","Trunk-Fling-Ex","",1,0,"NV","NV",0,0
"WildHorizons_VE_2024-04-19_Trial01_JM","Goal met","Jambo","Male","Old adult","WildHorizons2","Trunk-Raise,Trunk-Reach-Obj,Trunk-Over-Head-OM,Trunk-Raise,Trunk-Raise,Trunk-Over-Head,Trunk-Reach-Ex,Trunk-Raise,Trunk-Fling-Blow-Ex,Trunk-Fling-Ex,Trunk-Fling-Ex","Trunk-Raise,Trunk-Fling-Blow-Ex,Trunk-Over-Head,Trunk-Fling-Blow-Ex,Trunk-Fling-Ex,Trunk-Fling-Ex,Trunk-Fling-Blow-Ex",11,7,"No","Yes",0,7
"WildHorizons_VE_2024-04-22_Trial02_JM","Goal not met","Jambo","Male","Old adult","WildHorizons2","Trunk-Over-Head-OM,Trunk-Reach-Blow-Ex,Trunk-Raise-Rock,Trunk-Fling-Obj,Trunk-Raise-Rock","Trunk-Raise,Trunk-Blow,Trunk-Raise-OM,Trunk-Fling-Blow-Ex,Trunk-Fling-Ex",5,5,"Yes","No",5,0
